F1 code,F0 code,Rep,source,F0parasite,F0temp,F1parasite,F1temp,Body.size,Embedded.spore,Penetrated.spore,attack,gut.resistance,Hemocytes,Hemocytes.per.spore,lifespan,infection,mean foregut width,totalbaby,ageatfirst,firstclutch,earlydeath,maturetrans,infection.status
UW3,IC3,3,IC30,infection,control,control,warming,1299.4,,,,,,,47,,,90,7,5,0,,control
UW4,IC4,4,IC35,infection,control,control,warming,926.11,,,,,,,29,,,78,10,2,0,,control
UW5,IC5,5,IC10,infection,control,control,warming,1249.03,,,,,,,28,,,57,6,2,0,,control
UW8,IC8,8,IC8,infection,control,control,warming,1262.96,,,,,,,50,,,116,7,1,0,,control
UW10,IC10,10,IC31,infection,control,control,warming,1440.89,,,,,,,40,,,106,6,4,0,,control
UW11,IC11,11,IC23,infection,control,control,warming,1484.57,,,,,,,50,,,137,6,3,0,,control
UW12,IC12,12,IC26,infection,control,control,warming,1231.32,,,,,,,43,,,111,7,5,0,,control
UW13,IC13,13,IC13,infection,control,control,warming,1077.56,,,,,,,53,,,98,8,2,0,,control
UW14,IC14,14,IC14,infection,control,control,warming,1129.99,,,,,,,53,,,90,9,2,0,,control
UW15,IC15,15,IC34,infection,control,control,warming,1464.22,,,,,,,29,,,119,6,5,0,,control
UW16,IC16,16,IC16,infection,control,control,warming,1392.43,,,,,,,49,,,139,7,4,0,,control
UW17,IC17,17,IC17,infection,control,control,warming,1083.91,,,,,,,42,,,81,8,2,0,,control
UW18,IC18,18,IC18,infection,control,control,warming,1196,,,,,,,53,,,121,8,4,0,,control
UW19,IC19,19,IC19,infection,control,control,warming,1503.48,,,,,,,29,,,89,6,5,0,,control
UW20,IC20,20,IC33,infection,control,control,warming,1241.3,,,,,,,32,,,74,8,5,0,,control
IW1,IC1,1,IC22,infection,control,infection,warming,1138.79,6,5,11,0.545454545,10,2,16,1,18.23,14,9,2,0,222500,exposed-infected
IW2,IC2,2,IC2,infection,control,infection,warming,1448.41,11,9,20,0.55,44,4.888888889,16,1,22.47333333,33,6,3,0,730000,exposed-infected
IW3,IC3,3,IC30,infection,control,infection,warming,1297.84,8,4,12,0.666666667,24,6,33,0,20.79333333,71,7,3,0,0,exposed-uninfected
IW5,IC5,5,IC10,infection,control,infection,warming,1309.46,2,11,13,0.153846154,33,3,13,1,18.85333333,26,6,4,0,240000,exposed-infected
IW10,IC10,10,IC31,infection,control,infection,warming,1203.26,3,4,7,0.428571429,13,3.25,13,1,21.92,2,7,2,0,5000,exposed-infected
IW11,IC11,11,IC23,infection,control,infection,warming,1215.64,7,4,11,0.636363636,6,1.5,47,0,26.15,79,7,3,0,0,exposed-uninfected
IW13,IC13,13,IC13,infection,control,infection,warming,1187.14,5,5,10,0.5,4,0.8,32,0,19.18333333,74,8,3,0,0,exposed-uninfected
IW14,IC14,14,IC14,infection,control,infection,warming,1107.32,10,6,16,0.625,1,0.166666667,49,0,16.8,86,8,4,0,0,exposed-uninfected
IW15,IC15,15,IC34,infection,control,infection,warming,1188.2,8,12,20,0.4,13,1.083333333,15,1,18.75333333,15,8,2,0,390000,exposed-infected
IW17,IC17,17,IC17,infection,control,infection,warming,1183.19,3,9,12,0.25,24,2.666666667,28,0,20.18,66,8,4,0,0,exposed-uninfected
IW18,IC18,18,IC18,infection,control,infection,warming,1135.96,3,6,9,0.333333333,14,2.333333333,13,1,13.65666667,16,11,8,0,790000,exposed-infected
IW19,IC19,19,IC19,infection,control,infection,warming,683.79,1,2,3,0.333333333,17,8.5,54,0,10.91666667,104,13,3,0,,exposed-uninfected
IW20,IC20,20,IC33,infection,control,infection,warming,1473.19,5,7,12,0.416666667,24,3.428571429,13,1,22.59,30,5,4,0,1292500,exposed-infected
UC1,UW1,1,UW1,control,warming,control,control,1308.18,,,,,,,66,,,184,8,2,0,,control
UC2,UW2,2,UW2,control,warming,control,control,1381.6,,,,,,,77,,,179,8,4,0,,control
UC3,UW3,3,UW3,control,warming,control,control,1405.58,,,,,,,66,,,153,8,5,0,,control
UC4,UW4,4,UW21,control,warming,control,control,1378.85,,,,,,,49,,,102,8,5,0,,control
UC5,UW5,5,UW5,control,warming,control,control,1497.72,,,,,,,52,,,130,7,4,0,,control
UC6,UW6,6,UW6,control,warming,control,control,1445.33,,,,,,,31,,,73,8,4,0,,control
UC7,UW7,7,UW24,control,warming,control,control,1223.64,,,,,,,70,,,165,10,2,0,,control
UC8,UW8,8,UW8,control,warming,control,control,1291.56,,,,,,,77,,,214,8,4,0,,control
